Files already downloaded and verified
Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAcc.	EndTime.
224	0.050000	0.345729	0.775636	89.168000	79.910000	03/06 08:30:57
225	0.050000	0.328826	0.835171	89.614000	78.980000	03/06 08:34:53
226	0.005000	0.212366	0.666394	93.622000	82.610000	03/06 08:38:49
227	0.005000	0.176958	0.664065	94.750000	82.960000	03/06 08:42:46
228	0.005000	0.160540	0.668549	95.294000	82.830000	03/06 08:46:42
229	0.005000	0.142519	0.658035	95.762000	83.100000	03/06 08:50:38
230	0.005000	0.146687	0.670432	95.744000	83.280000	03/06 08:54:35
231	0.005000	0.141622	0.652242	95.886000	83.330000	03/06 08:58:31
232	0.005000	0.141766	0.669689	95.858000	83.060000	03/06 09:02:27
233	0.005000	0.137388	0.659304	96.060000	83.340000	03/06 09:06:23
234	0.005000	0.121181	0.659260	96.540000	83.540000	03/06 09:10:19
235	0.005000	0.123274	0.666229	96.494000	83.300000	03/06 09:14:15
236	0.005000	0.124721	0.679144	96.408000	83.230000	03/06 09:18:10
237	0.005000	0.133401	0.666995	96.108000	83.310000	03/06 09:22:06
238	0.005000	0.120588	0.666567	96.556000	83.580000	03/06 09:26:02
239	0.005000	0.123260	0.673478	96.418000	83.550000	03/06 09:29:58
240	0.005000	0.125531	0.665750	96.422000	83.510000	03/06 09:33:55
241	0.005000	0.118857	0.668677	96.634000	83.310000	03/06 09:37:51
242	0.005000	0.119721	0.667726	96.586000	83.510000	03/06 09:41:47
243	0.005000	0.116402	0.658127	96.728000	83.540000	03/06 09:45:43
244	0.005000	0.118407	0.677308	96.678000	83.440000	03/06 09:49:39
245	0.005000	0.110389	0.671409	96.878000	83.280000	03/06 09:53:35
246	0.005000	0.114165	0.684460	96.760000	83.600000	03/06 09:57:31
247	0.005000	0.105335	0.666583	97.022000	83.350000	03/06 10:01:26
248	0.005000	0.119211	0.665005	96.514000	83.570000	03/06 10:05:22
249	0.005000	0.114079	0.683475	96.764000	83.610000	03/06 10:09:18
250	0.005000	0.111764	0.671445	96.904000	83.720000	03/06 10:13:15
251	0.005000	0.115418	0.673043	96.712000	83.600000	03/06 10:17:11
252	0.005000	0.102345	0.657897	97.116000	83.740000	03/06 10:21:07
253	0.005000	0.108393	0.676057	96.924000	83.500000	03/06 10:25:04
254	0.005000	0.102276	0.688689	97.104000	83.490000	03/06 10:29:00
255	0.005000	0.105671	0.681970	97.044000	83.520000	03/06 10:32:57
256	0.005000	0.100297	0.675291	97.232000	83.690000	03/06 10:36:53
257	0.005000	0.100731	0.675934	97.194000	83.730000	03/06 10:40:49
258	0.005000	0.109103	0.685913	96.948000	83.830000	03/06 10:44:45
259	0.005000	0.099114	0.688013	97.218000	83.580000	03/06 10:48:41
260	0.005000	0.104029	0.676652	97.054000	83.540000	03/06 10:52:37
261	0.005000	0.096025	0.682100	97.320000	83.610000	03/06 10:56:32
262	0.005000	0.105484	0.685605	97.132000	83.680000	03/06 11:00:28
263	0.005000	0.105402	0.690103	97.132000	83.480000	03/06 11:04:24
264	0.005000	0.098061	0.667818	97.312000	83.550000	03/06 11:08:21
265	0.005000	0.091392	0.683718	97.434000	83.580000	03/06 11:12:18
266	0.005000	0.098912	0.689018	97.260000	83.740000	03/06 11:16:13
267	0.005000	0.096055	0.676519	97.426000	83.830000	03/06 11:20:07
268	0.005000	0.090012	0.679248	97.594000	83.700000	03/06 11:24:01
269	0.005000	0.093825	0.678231	97.362000	83.570000	03/06 11:27:57
270	0.005000	0.088239	0.694100	97.588000	83.670000	03/06 11:31:55
271	0.005000	0.092616	0.676839	97.428000	83.850000	03/06 11:35:49
272	0.005000	0.099840	0.680295	97.254000	83.600000	03/06 11:39:48
273	0.005000	0.087257	0.684531	97.602000	83.690000	03/06 11:43:47
274	0.005000	0.099438	0.673386	97.200000	83.720000	03/06 11:47:45
275	0.005000	0.093319	0.702549	97.326000	83.610000	03/06 11:51:43
276	0.005000	0.100858	0.696779	97.194000	83.550000	03/06 11:55:41
277	0.005000	0.096938	0.674310	97.204000	83.700000	03/06 11:59:39
278	0.005000	0.085810	0.692913	97.640000	83.910000	03/06 12:03:37
279	0.005000	0.098412	0.687283	97.248000	83.800000	03/06 12:07:35
280	0.005000	0.097812	0.696790	97.272000	83.860000	03/06 12:11:34
281	0.005000	0.098279	0.692679	97.318000	83.760000	03/06 12:15:32
282	0.005000	0.091221	0.685330	97.482000	83.600000	03/06 12:19:30
283	0.005000	0.093822	0.689659	97.312000	83.890000	03/06 12:23:25
284	0.005000	0.087311	0.689819	97.596000	83.830000	03/06 12:27:25
285	0.005000	0.097673	0.689510	97.310000	83.780000	03/06 12:31:19
286	0.005000	0.092912	0.688392	97.414000	83.660000	03/06 12:35:12
287	0.005000	0.088990	0.694901	97.522000	83.420000	03/06 12:39:06
288	0.005000	0.093766	0.687874	97.438000	83.680000	03/06 12:43:05
289	0.005000	0.089601	0.695568	97.518000	83.490000	03/06 12:46:58
290	0.005000	0.092342	0.693671	97.410000	83.520000	03/06 12:50:52
291	0.005000	0.087598	0.689534	97.532000	83.400000	03/06 12:54:47
292	0.005000	0.093469	0.690217	97.372000	83.550000	03/06 12:58:45
293	0.005000	0.089481	0.706290	97.556000	83.610000	03/06 13:02:40
294	0.005000	0.091502	0.678651	97.560000	83.810000	03/06 13:06:34
295	0.005000	0.089139	0.689470	97.528000	83.850000	03/06 13:10:31
296	0.005000	0.082311	0.690716	97.776000	83.780000	03/06 13:14:24
297	0.005000	0.090602	0.690660	97.480000	83.740000	03/06 13:18:21
298	0.005000	0.093709	0.697018	97.414000	83.590000	03/06 13:22:19
299	0.005000	0.092995	0.694267	97.412000	83.750000	03/06 13:26:16
300	0.005000	0.093766	0.703813	97.354000	83.570000	03/06 13:30:11
